FC,RM,AUC,AUC_PR,Omission
L,0.01,0.562873,0.519495,0.100098
Q,0.01,0.55632,0.507304,0.100098
H,0.01,0.709484,0.670713,0.100098
P,0.01,0.607855,0.56236,0.100098
T,0.01,0.759881,0.728698,0.100098
LQ,0.01,0.562873,0.519495,0.100098
LH,0.01,0.562873,0.519495,0.100098
LP,0.01,0.562873,0.519495,0.100098
LT,0.01,0.562873,0.519495,0.100098
QH,0.01,0.562873,0.519495,0.100098
QP,0.01,0.562873,0.519495,0.100098
QT,0.01,0.562873,0.519495,0.100098
HP,0.01,0.562873,0.519495,0.100098
HT,0.01,0.562873,0.519495,0.100098
PT,0.01,0.562873,0.519495,0.100098
LQH,0.01,0.562873,0.519495,0.100098
LQP,0.01,0.562873,0.519495,0.100098
LQT,0.01,0.562873,0.519495,0.100098
LHP,0.01,0.562873,0.519495,0.100098
LHT,0.01,0.562873,0.519495,0.100098
LPT,0.01,0.562873,0.519495,0.100098
QHP,0.01,0.562873,0.519495,0.100098
QHT,0.01,0.562873,0.519495,0.100098
QPT,0.01,0.562873,0.519495,0.100098
HPT,0.01,0.562873,0.519495,0.100098
LQHP,0.01,0.562873,0.519495,0.100098
LQHT,0.01,0.562873,0.519495,0.100098
LQPT,0.01,0.562873,0.519495,0.100098
LHPT,0.01,0.562873,0.519495,0.100098
QHPT,0.01,0.562873,0.519495,0.100098
LQHPT,0.01,0.562873,0.519495,0.100098
L,0.05,0.562908,0.519585,0.100098
Q,0.05,0.556474,0.507436,0.100098
H,0.05,0.676073,0.636452,0.100098
P,0.05,0.60007,0.555781,0.100098
T,0.05,0.751941,0.718127,0.100098
LQ,0.05,0.562908,0.519585,0.100098
LH,0.05,0.562908,0.519585,0.100098
LP,0.05,0.562908,0.519585,0.100098
LT,0.05,0.562908,0.519585,0.100098
QH,0.05,0.562908,0.519585,0.100098
QP,0.05,0.562908,0.519585,0.100098
QT,0.05,0.562908,0.519585,0.100098
HP,0.05,0.562908,0.519585,0.100098
HT,0.05,0.562908,0.519585,0.100098
PT,0.05,0.562908,0.519585,0.100098
LQH,0.05,0.562908,0.519585,0.100098
LQP,0.05,0.562908,0.519585,0.100098
LQT,0.05,0.562908,0.519585,0.100098
LHP,0.05,0.562908,0.519585,0.100098
LHT,0.05,0.562908,0.519585,0.100098
LPT,0.05,0.562908,0.519585,0.100098
QHP,0.05,0.562908,0.519585,0.100098
QHT,0.05,0.562908,0.519585,0.100098
QPT,0.05,0.562908,0.519585,0.100098
HPT,0.05,0.562908,0.519585,0.100098
LQHP,0.05,0.562908,0.519585,0.100098
LQHT,0.05,0.562908,0.519585,0.100098
LQPT,0.05,0.562908,0.519585,0.100098
LHPT,0.05,0.562908,0.519585,0.100098
QHPT,0.05,0.562908,0.519585,0.100098
LQHPT,0.05,0.562908,0.519585,0.100098
L,0.1,0.562871,0.51959,0.100098
Q,0.1,0.556736,0.507511,0.100098
H,0.1,0.661805,0.619473,0.100098
P,0.1,0.592723,0.551822,0.100098
T,0.1,0.737221,0.69901,0.100098
LQ,0.1,0.562871,0.51959,0.100098
LH,0.1,0.562871,0.51959,0.100098
LP,0.1,0.562871,0.51959,0.100098
LT,0.1,0.562871,0.51959,0.100098
QH,0.1,0.562871,0.51959,0.100098
QP,0.1,0.562871,0.51959,0.100098
QT,0.1,0.562871,0.51959,0.100098
HP,0.1,0.562871,0.51959,0.100098
HT,0.1,0.562871,0.51959,0.100098
PT,0.1,0.562871,0.51959,0.100098
LQH,0.1,0.562871,0.51959,0.100098
LQP,0.1,0.562871,0.51959,0.100098
LQT,0.1,0.562871,0.51959,0.100098
LHP,0.1,0.562871,0.51959,0.100098
LHT,0.1,0.562871,0.51959,0.100098
LPT,0.1,0.562871,0.51959,0.100098
QHP,0.1,0.562871,0.51959,0.100098
QHT,0.1,0.562871,0.51959,0.100098
QPT,0.1,0.562871,0.51959,0.100098
HPT,0.1,0.562871,0.51959,0.100098
LQHP,0.1,0.562871,0.51959,0.100098
LQHT,0.1,0.562871,0.51959,0.100098
LQPT,0.1,0.562871,0.51959,0.100098
LHPT,0.1,0.562871,0.51959,0.100098
QHPT,0.1,0.562871,0.51959,0.100098
LQHPT,0.1,0.562871,0.51959,0.100098
L,0.25,0.56286,0.5189,0.100098
Q,0.25,0.556791,0.507004,0.100098
H,0.25,0.64369,0.598591,0.100098
P,0.25,0.584404,0.543653,0.100098
T,0.25,0.688614,0.645453,0.100098
LQ,0.25,0.56286,0.5189,0.100098
LH,0.25,0.56286,0.5189,0.100098
LP,0.25,0.56286,0.5189,0.100098
LT,0.25,0.56286,0.5189,0.100098
QH,0.25,0.56286,0.5189,0.100098
QP,0.25,0.56286,0.5189,0.100098
QT,0.25,0.56286,0.5189,0.100098
HP,0.25,0.56286,0.5189,0.100098
HT,0.25,0.56286,0.5189,0.100098
PT,0.25,0.56286,0.5189,0.100098
LQH,0.25,0.56286,0.5189,0.100098
LQP,0.25,0.56286,0.5189,0.100098
LQT,0.25,0.56286,0.5189,0.100098
LHP,0.25,0.56286,0.5189,0.100098
LHT,0.25,0.56286,0.5189,0.100098
LPT,0.25,0.56286,0.5189,0.100098
QHP,0.25,0.56286,0.5189,0.100098
QHT,0.25,0.56286,0.5189,0.100098
QPT,0.25,0.56286,0.5189,0.100098
HPT,0.25,0.56286,0.5189,0.100098
LQHP,0.25,0.56286,0.5189,0.100098
LQHT,0.25,0.56286,0.5189,0.100098
LQPT,0.25,0.56286,0.5189,0.100098
LHPT,0.25,0.56286,0.5189,0.100098
QHPT,0.25,0.56286,0.5189,0.100098
LQHPT,0.25,0.56286,0.5189,0.100098
L,0.5,0.562682,0.518227,0.100098
Q,0.5,0.556635,0.506388,0.100098
H,0.5,0.628085,0.584468,0.100098
P,0.5,0.577098,0.534758,0.100098
T,0.5,0.640522,0.599655,0.100098
LQ,0.5,0.562682,0.518227,0.100098
LH,0.5,0.562682,0.518227,0.100098
LP,0.5,0.562682,0.518227,0.100098
LT,0.5,0.562682,0.518227,0.100098
QH,0.5,0.562682,0.518227,0.100098
QP,0.5,0.562682,0.518227,0.100098
QT,0.5,0.562682,0.518227,0.100098
HP,0.5,0.562682,0.518227,0.100098
HT,0.5,0.562682,0.518227,0.100098
PT,0.5,0.562682,0.518227,0.100098
LQH,0.5,0.562682,0.518227,0.100098
LQP,0.5,0.562682,0.518227,0.100098
LQT,0.5,0.562682,0.518227,0.100098
LHP,0.5,0.562682,0.518227,0.100098
LHT,0.5,0.562682,0.518227,0.100098
LPT,0.5,0.562682,0.518227,0.100098
QHP,0.5,0.562682,0.518227,0.100098
QHT,0.5,0.562682,0.518227,0.100098
QPT,0.5,0.562682,0.518227,0.100098
HPT,0.5,0.562682,0.518227,0.100098
LQHP,0.5,0.562682,0.518227,0.100098
LQHT,0.5,0.562682,0.518227,0.100098
LQPT,0.5,0.562682,0.518227,0.100098
LHPT,0.5,0.562682,0.518227,0.100098
QHPT,0.5,0.562682,0.518227,0.100098
