Variables,Initial_VIF,VIF_Thresh10,VIF_Thresh5,,,,
awc_r,4.162555386,3.927371645,3.895376686,,,,
BIO1_bio_variable_processed_epsg4326,2429.03794,,,,,column 1,A list of the variables considered for the analysis
BIO10_bio_variable_processed_epsg4326,2205.672347,,,,,column 2,Initial VIF results for all 33 variables
BIO11_bio_variable_processed_epsg4326,2388.112962,,,,,column 3,VIF values after a removal with threshold of 10
BIO12_bio_variable_processed_epsg4326,184.2905771,,,,,column 4,VIF values after a removal with threshold of 5
BIO13_bio_variable_processed_epsg4326,15.58328512,,1.821260747,,,,
BIO14_bio_variable_processed_epsg4326,25.67557676,,,,,,
BIO15_bio_variable_processed_epsg4326,13.73094049,1.352326623,1.315330336,,,,
BIO16_bio_variable_processed_epsg4326,60.10323291,,,,,,
BIO17_bio_variable_processed_epsg4326,90.09969762,,,,,,
BIO18_bio_variable_processed_epsg4326,51.58691666,1.891359793,,,,,
BIO19_bio_variable_processed_epsg4326,81.64699548,,,,,,
BIO2_bio_variable_processed_epsg4326,1378.21882,,,,,,
BIO3_bio_variable_processed_epsg4326,619.5493345,2.768334263,2.144802823,,,,
BIO4_bio_variable_processed_epsg4326,612.200725,,,,,,
BIO5_bio_variable_processed_epsg4326,5.89014E+11,7.574695304,2.638151079,,,,
BIO6_bio_variable_processed_epsg4326,2.52232E+12,,,,,,
BIO7_bio_variable_processed_epsg4326,1.2947E+12,3.234624327,2.14340407,,,,
BIO8_bio_variable_processed_epsg4326,3.244788683,1.835453135,1.885009871,,,,
BIO9_bio_variable_processed_epsg4326,4.215111736,2.844334339,2.73473935,,,,
caco3_r,2.909807301,2.627409613,2.693095037,,,,
claytotal_r,5.194671368,4.832744301,3.506502106,,,,
flodfreqdcd_num,4.236065954,5.155921042,3.798607863,,,,
flodfreqmax_num,3.859943639,4.758184173,3.51808065,,,,
forpehrtdcp_num,2.330247389,2.15869461,2.083180332,,,,
NASADEM_arc1,8.854454639,8.208981579,,,,,
ny_road_dist,1.611354529,1.647087618,1.702205392,,,,
ny_stream_dist,1.212375447,1.186348687,1.081442016,,,,
om_r,5.077477092,4.929541302,4.906345966,,,,
ph1to1h2o_r,3.909075396,3.718294331,3.574028616,,,,
sandtotal_r,3.283485265,3.2571605,2.597255293,,,,
silttotal_r,7.803235235,6.423271747,,,,,
slope_r,1.510197727,1.519797123,1.456202114,,,,
