,awc_r,BIO13,BIO15,BIO17,BIO18,BIO3,BIO5,BIO7,BIO8,BIO9,caco3_r,cec7_r,claytotal_r,flodfreqdcd_num,flodfreqmax_num,forpehrtdcp_num,NASADEM_arc1,mean_annual_et,ny_road_dist,ny_stream_dist,om_r,ph1to1h2o_r,sandtotal_r,silttotal_r,slope_r
awc_r,1,0.139408422,-0.00240369008,0.118858057,0.172686371,-0.00858490045,-0.291496302,0.342392358,-0.0370966725,-0.196491184,-0.0311021908,0.628507141,-0.280866411,-0.168132558,0.0655839201,0.244976578,0.156739877,-0.209924088,0.309484509,-0.0430883478,0.784852783,-0.172959991,-0.010342477,-0.396531364,0.0328324399
BIO13,,1,0.060301167,0.749860731,0.897032941,0.367094075,-0.348335428,0.331878736,-0.367131677,-0.0236020523,-0.466413164,0.223479397,-0.526266025,-0.154388575,0.0193860537,0.426849364,0.36353456,-0.436289866,0.401494027,-0.133128719,0.341868187,-0.514705049,0.236469422,-0.256104227,0.220534337
BIO15,,,1,-0.562138692,0.0838791413,0.319836332,0.119476891,0.245376265,0.213176122,-0.24008873,-0.0311267989,0.0566887458,-0.105806751,0.0539242885,0.134230293,0.154563856,0.0814182458,-0.267720671,0.0706187777,-0.0368457386,0.0610286863,-0.10749895,0.0398111784,-0.0276512715,0.0970034974
BIO17,,,,1,0.678148,0.0444394252,-0.363040886,0.148078013,-0.491670739,0.199171976,-0.363519898,0.144829501,-0.371278599,-0.158082062,-0.0680572512,0.248000479,0.216429139,-0.166719353,0.294271846,-0.0901046717,0.248137189,-0.352254606,0.198723509,-0.228532112,0.100259504
BIO18,,,,,1,0.330303826,-0.453799657,0.465251008,-0.173879899,-0.263786213,-0.438533595,0.282587514,-0.525159184,-0.172387476,0.0323536832,0.490629529,0.440648547,-0.52304585,0.422289052,-0.161992618,0.364781534,-0.500905685,0.235097902,-0.270339443,0.25506244
BIO3,,,,,,1,0.00729082602,0.172398967,0.0553156792,-0.22114361,-0.459563321,0.0830615232,-0.261329037,0.0835143922,0.1176241,0.41503552,0.425427845,-0.45332167,0.0963915728,-0.101474311,0.118457896,-0.422339338,-0.0294176534,0.143817593,0.282428672
BIO5,,,,,,,1,-0.355774739,0.336555263,0.352418586,0.314143018,-0.404900044,0.448365681,0.29277172,0.0823879393,-0.496266306,-0.765324618,0.628368825,-0.504505213,0.0978775449,-0.451491666,0.476703646,-0.245310691,0.384996309,-0.281406733
BIO7,,,,,,,,1,0.0169951963,-0.47582669,-0.241112078,0.479801562,-0.510640596,-0.254271699,0.0498293543,0.366205443,0.175396859,-0.342848558,0.3762407,-0.176908445,0.497979724,-0.353823508,0.440338211,-0.657564074,0.180969008
BIO8,,,,,,,,,1,-0.410574023,0.179332646,-0.041225941,0.187361738,0.0577606537,-0.00496792376,-0.088301265,-0.177819053,0.0468042094,-0.223754929,0.0258081731,-0.110391785,0.192859854,-0.115921534,0.139499594,-0.0213243166
BIO9,,,,,,,,,,1,0.115938064,-0.297194732,0.275290724,0.154654389,-0.00596938494,-0.364893668,-0.387497348,0.455988123,-0.210672636,0.106938268,-0.271608215,0.207757196,-0.144488211,0.205803062,-0.216143588
caco3_r,,,,,,,,,,,1,-0.200042186,0.568854109,0.0981202646,-0.0215335296,-0.44067626,-0.449829986,0.386242955,-0.280536219,0.142921701,-0.313183496,0.742026576,-0.27113204,0.217152102,-0.290702546
cec7_r,,,,,,,,,,,,1,-0.460628749,-0.274551641,-0.00125013678,0.39589768,0.283293571,-0.351170768,0.381988835,-0.0525119502,0.712504105,-0.393903114,0.241594353,-0.566109357,0.229421135
claytotal_r,,,,,,,,,,,,,1,0.22817269,-0.0310681796,-0.505698933,-0.365212191,0.468558364,-0.417529506,0.110077784,-0.595455607,0.682050496,-0.661627241,0.713038499,-0.283384429
flodfreqdcd_num,,,,,,,,,,,,,,1,0.806011347,-0.179009214,-0.173622689,0.138670281,-0.258848648,-0.0367862039,-0.262009812,0.223364642,-0.201972229,0.334029683,-0.100455038
flodfreqmax_num,,,,,,,,,,,,,,,1,-0.0307644743,-0.0605097097,-0.0496826019,0.00869016932,-0.0947603365,0.0194193334,0.0237027005,-0.00718881428,0.0324772859,-0.0710855013
forpehrtdcp_num,,,,,,,,,,,,,,,,1,0.623168645,-0.627634327,0.396115573,-0.127904712,0.431813499,-0.559866627,0.194665959,-0.253701366,0.453816953
NASADEM_arc1,,,,,,,,,,,,,,,,,1,-0.766405202,0.419333765,-0.0304484725,0.336050461,-0.581049148,0.00482247875,-0.0253815406,0.434532377
mean_annual_et,,,,,,,,,,,,,,,,,,1,-0.439349373,0.124337452,-0.396251859,0.564295124,-0.165457788,0.182823807,-0.375302355
ny_road_dist,,,,,,,,,,,,,,,,,,,1,-0.0563724727,0.443568639,-0.419081996,0.235085305,-0.389122405,0.186733197
ny_stream_dist,,,,,,,,,,,,,,,,,,,,1,-0.0735338919,0.103876763,-0.0936393133,0.0810996,-0.0298185461
om_r,,,,,,,,,,,,,,,,,,,,,1,-0.545673114,0.355477056,-0.614670747,0.248585889
ph1to1h2o_r,,,,,,,,,,,,,,,,,,,,,,1,-0.410864226,0.399308819,-0.449388012
sandtotal_r,,,,,,,,,,,,,,,,,,,,,,,1,-0.711336836,0.0806012569
silttotal_r,,,,,,,,,,,,,,,,,,,,,,,,1,-0.132154413
slope_r,,,,,,,,,,,,,,,,,,,,,,,,,1
